codigo;descripcion;familia;rubro;subrubro;proveedor;costo;iva;ganancia;moneda;codigo barra;ubicación;stock
101203111253400;"CUPLA ROSCA H  Ø 25 x ¾""";;;;;3927;21;35;$;;;
101203111323400;"CUPLA ROSCA H  Ø 32 x ¾""";;;;;6031;21;35;$;;;
101203111321000;"CUPLA ROSCA H  Ø 32 x 1"" ";;;;;7013;21;35;$;;;
101203111401140;"CUPLA ROSCA H  Ø 40 x 1¼""";;;;;14026;21;35;$;;;
101203111501120;"CUPLA ROSCA H  Ø 50 x 1½""";;;;;18233;21;35;$;;;
101203111632000;"CUPLA ROSCA H  Ø 63 x 2""";;;;;28051;21;35;$;;;
101203111752120;"CUPLA ROSCA H  Ø 75 x 2½""";;;;;0;21;35;$;;;
101203121400001;UNION DOBLE C/BRIDA HH Ø 40;;;;;17251;21;35;$;;;
101203121500001;UNION DOBLE C/BRIDA HH Ø 50;;;;;18864;21;35;$;;;
101203121630001;UNION DOBLE C/BRIDA HH Ø 63;;;;;22511;21;35;$;;;
101203121750001;UNION DOBLE C/BRIDA HH Ø 75;;;;;0;21;35;$;;;
101203121900001;UNION DOBLE C/BRIDA HH Ø 90;;;;;0;21;35;$;;;
101203121200000;UNION DOBLE  Ø 20  HH;;;;;1473;21;35;$;;;
101203121250000;UNION DOBLE  Ø 25  HH;;;;;2034;21;35;$;;;
101203121320000;UNION DOBLE  Ø 32  HH;;;;;3226;21;35;$;;;
101203121400000;UNION DOBLE  Ø 40  HH;;;;;0;21;35;$;;;
101203121500000;UNION DOBLE  Ø 50  HH;;;;;0;21;35;$;;;
101203130200001;LLAVE DE PASO C/BRONCE Ø 20;;;;;20337;21;35;$;;;
101203130250001;LLAVE DE PASO C/BRONCE Ø 25;;;;;24545;21;35;$;;;
101203130320001;LLAVE DE PASO C/BRONCE Ø 32;;;;;0;21;35;$;;;
101203132200000;CABEZAL DE BRONCE Ø 20/25;;;;;10716;21;35;$;;;
101203132320000;CABEZAL DE BRONCE Ø 32;;;;;0;21;35;$;;;
101203131200001;LLAVE DE PASO C/BRONCE Y POLIAMIDA Ø 20;;;;;16129;21;35;$;;;
101203131250001;LLAVE DE PASO C/BRONCE Y POLIAMIDA Ø 25;;;;;17883;21;35;$;;;
101203131320001;LLAVE DE PASO C/BRONCE Y POLIAMIDA Ø 32;;;;;0;21;35;$;;;
101203133200000;CABEZAL DE BRONCE Y POLIAMIDA Ø 20/25;;;;;6487;21;35;$;;;
101203133320000;CABEZAL DE BRONCE Y POLIAMIDA Ø 32;;;;;0;21;35;$;;;
101203134100000;CAPUCHON C/CAMPANA (CROMADO);;;;;4894;21;35;$;;;
101203150200001;VALVULA ESFERICA Ø 20;;;;;23675;21;35;$;;;
101203150250001;VALVULA ESFERICA Ø 25;;;;;26077;21;35;$;;;
101201699600595;VALVULA ESFERICA Ø 32 *NUEVO*;;;;;25338;21;35;$;;;
101201699600596;VALVULA ESFERICA Ø 40 *NUEVO*;;;;;51939;21;35;$;;;
101201699600597;VALVULA ESFERICA Ø 50 *NUEVO*;;;;;59538;21;35;$;;;
101201699600598;VALVULA ESFERICA Ø 63 *NUEVO*;;;;;95958;21;35;$;;;
101150100000001;CANALETA x 3MTS;;;;;34427;21;35;$;;;
101150211500002;TUBO DE DESCARGA Ø115 x 1MT;;;;;12615;21;35;$;;;
101150211500001;TUBO DE DESCARGA Ø115 x 3MTS;;;;;37841;21;35;$;;;
101150400000001;EMBUDO DE DESCARGA;;;;;10865;21;35;$;;;
101150400000002;UNION DE CANALETA;;;;;3727;21;35;$;;;
101150400000009;ESQUINERO CANALETA INTERIOR/EXTERIOR;;;;;11437;21;35;$;;;
101150300000001;SOPORTE CANALETA;;;;;3447;21;35;$;;;
101150400000003;CODO Ø115 A 87°;;;;;10629;21;35;$;;;
101150400000004;CODO Ø115 A 67°;;;;;9966;21;35;$;;;
101150400000006;TAPA CANALETA IZQUIERDA;;;;;2646;21;35;$;;;
101150400000005;TAPA CANALETA DERECHA;;;;;2646;21;35;$;;;
101150400000008;TAPA EMBUDO IZQUIERDA;;;;;2646;21;35;$;;;
101150400000007;TAPA EMBUDO DERECHA;;;;;2646;21;35;$;;;
101150300000002;GRAMPA P/TUBO DE DESCARGA;;;;;3226;21;35;$;;;
101150300000003;SOPORTE METALICO P/CHAPA;;;;;16248;21;35;$;;;
101150300000004;SOPORTE METALICO P/TEJA;;;;;16248;21;35;$;;;
101150300000005;SOPORTE METALICO P/CABIO;;;;;16248;21;35;$;;;
101010200040004;TUBO COMPACTO TJCA Ø40 x 4 J/P;;;;;12475;21;35;$;;;
101010200050004;TUBO COMPACTO TJCA Ø50 x 4 J/P;;;;;16083;21;35;$;;;
101010200063004;TUBO COMPACTO TJCA Ø63 x 4 J/P;;;;;19268;21;35;$;;;
101010200110004;TUBO COMPACTO TJCA Ø110 x 4 J/P;;;;;31084;21;35;$;;;
101010200160004;TUBO COMPACTO TJCA Ø160 x 4 J/P;;;;;68303;21;35;$;;;
101010300040004;TUBO COMPACTO TJCR Ø40 x 4 J/P;;;;;14175;21;35;$;;;
101010300050004;TUBO COMPACTO TJCR Ø50 x 4 J/P;;;;;17056;21;35;$;;;
101010300063004;TUBO COMPACTO TJCR Ø63 x 4 J/P;;;;;21897;21;35;$;;;
101010300110004;TUBO COMPACTO TJCR Ø110 x 4 J/P;;;;;38790;21;35;$;;;
101010300160004;TUBO COMPACTO TJCR Ø160 x 4 J/P;;;;;79728;21;35;$;;;
101010300200004;TUBO COMPACTO TJCR Ø200 x 4 J/P;;;;;100048;21;35;$;;;
101010200110104;TUBO COMPACTO TJCV Ø110 x 4 J/P;;;;;28345;21;35;$;;;
101010400040004;TUBO COMPACTO NJC Ø40 x 4 J/P;;;;;9895;21;35;$;;;
101010400050004;TUBO COMPACTO NJC Ø50 x 4 J/P;;;;;11890;21;35;$;;;
101010400060004;TUBO COMPACTO NJC Ø60 x 4 J/P;;;;;14496;21;35;$;;;
101010400100004;TUBO COMPACTO NJC Ø100 x 4 J/P;;;;;20570;21;35;$;;;
101010600100004;TUBO COMPACTO NJC Ø100 x 4 J/P SUPER REFORZADO;;;;;24339;21;35;$;;;
101040210040324;TUBO PVC P/DESAGÛE KJC IRAM Ø 40 x 3,2 x 4 J/P;;;;;18263;21;35;$;;;
101040210050324;TUBO PVC P/DESAGÛE KJC IRAM Ø 50 x 3,2 x 4 J/P;;;;;23925;21;35;$;;;
101040210063324;TUBO PVC P/DESAGÛE KJC IRAM Ø 63 x 3,2 x 4 J/P;;;;;29667;21;35;$;;;
101040210110324;TUBO PVC P/DESAGÛE KJC IRAM Ø 110 x 3,2 x 4 J/P;;;;;45146;21;35;$;;;
